25-09-05 17:16:30.085 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final 
25-09-05 17:16:30.092 [main] INFO  n.e.journalApp.JournalApplication - Starting JournalApplication using Java 19.0.2 on Yashu with PID 5136 (E:\DigestBoot\journalApp2\journalApp\target\classes started by LENOVO in E:\DigestBoot\journalApp2) 
25-09-05 17:16:30.188 [main] DEBUG n.e.journalApp.JournalApplication - Running with Spring Boot v2.7.16, Spring v5.3.30 
25-09-05 17:16:30.188 [main] INFO  n.e.journalApp.JournalApplication - The following 1 profile is active: "dev" 
25-09-05 17:16:31.038 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode. 
25-09-05 17:16:31.101 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 57 ms. Found 2 MongoDB repository interfaces. 
25-09-05 17:16:31.775 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http) 
25-09-05 17:16:31.781 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"] 
25-09-05 17:16:31.782 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat] 
25-09-05 17:16:31.783 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.80] 
25-09-05 17:16:31.886 [main] INFO  o.a.c.c.C.[.[localhost].[/journal] - Initializing Spring embedded WebApplicationContext 
25-09-05 17:16:31.886 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1586 ms 
25-09-05 17:16:32.171 [cluster-ClusterId{value='68bacd981d206d3549e9eed4', description='null'}-srv-cluster0.futbf.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server cluster0-shard-00-00.futbf.mongodb.net:27017 to client view of cluster 
25-09-05 17:16:32.190 [main] INFO  org.mongodb.driver.client - MongoClient with metadata {"driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "4.6.1"}, "os": {"type": "Windows", "name": "Windows 11", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Oracle Corporation/19.0.2+7-44", "application": {"name": "Cluster0"}} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=majority, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='yashuvdyashuv01', source='admin', password=<hidden>, mechanismProperties=<hidden>}, streamFactoryFactory=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.Jep395RecordCodecProvider@32faa16c]}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=cluster0.futbf.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-707kmd-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='30000 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, sendBufferSize=0}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, sendBufferSize=0}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='Cluster0', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, contextProvider=null} 
25-09-05 17:16:32.203 [cluster-ClusterId{value='68bacd981d206d3549e9eed4', description='null'}-srv-cluster0.futbf.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server cluster0-shard-00-01.futbf.mongodb.net:27017 to client view of cluster 
25-09-05 17:16:32.204 [cluster-ClusterId{value='68bacd981d206d3549e9eed4', description='null'}-srv-cluster0.futbf.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server cluster0-shard-00-02.futbf.mongodb.net:27017 to client view of cluster 
25-09-05 17:16:32.666 [main] INFO  org.mongodb.driver.cluster - No server chosen by com.mongodb.client.internal.MongoClientDelegate$1@4b41587d from cluster description ClusterDescription{type=REPLICA_SET, connectionMode=MULTIPLE, serverDescriptions=[ServerDescription{address=cluster0-shard-00-01.futbf.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=cluster0-shard-00-02.futbf.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=cluster0-shard-00-00.futbf.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}]}. Waiting for 30000 ms before timing out 
25-09-05 17:16:32.751 [cluster-ClusterId{value='68bacd981d206d3549e9eed4', description='null'}-cluster0-shard-00-01.futbf.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:3, serverValue:17148}] to cluster0-shard-00-01.futbf.mongodb.net:27017 
25-09-05 17:16:32.751 [cluster-rtt-ClusterId{value='68bacd981d206d3549e9eed4', description='null'}-cluster0-shard-00-02.futbf.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:4, serverValue:17529}] to cluster0-shard-00-02.futbf.mongodb.net:27017 
25-09-05 17:16:32.751 [cluster-ClusterId{value='68bacd981d206d3549e9eed4', description='null'}-cluster0-shard-00-00.futbf.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:2, serverValue:17336}] to cluster0-shard-00-00.futbf.mongodb.net:27017 
25-09-05 17:16:32.751 [cluster-rtt-ClusterId{value='68bacd981d206d3549e9eed4', description='null'}-cluster0-shard-00-01.futbf.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:5, serverValue:17148}] to cluster0-shard-00-01.futbf.mongodb.net:27017 
25-09-05 17:16:32.751 [cluster-ClusterId{value='68bacd981d206d3549e9eed4', description='null'}-cluster0-shard-00-02.futbf.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:6, serverValue:17530}] to cluster0-shard-00-02.futbf.mongodb.net:27017 
25-09-05 17:16:32.751 [cluster-ClusterId{value='68bacd981d206d3549e9eed4', description='null'}-cluster0-shard-00-00.futbf.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=cluster0-shard-00-00.futbf.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=274005300, setName='atlas-707kmd-shard-0', canonicalAddress=cluster0-shard-00-00.futbf.mongodb.net:27017, hosts=[cluster0-shard-00-00.futbf.mongodb.net:27017, cluster0-shard-00-01.futbf.mongodb.net:27017, cluster0-shard-00-02.futbf.mongodb.net:27017], passives=[], arbiters=[], primary='cluster0-shard-00-02.futbf.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az1'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=1, topologyVersion=TopologyVersion{processId=68b9a9d1105721f72c8b40a0, counter=4}, lastWriteDate=Fri Sep 05 17:16:31 IST 2025, lastUpdateTimeNanos=1989741162900} 
25-09-05 17:16:32.751 [cluster-ClusterId{value='68bacd981d206d3549e9eed4', description='null'}-cluster0-shard-00-01.futbf.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=cluster0-shard-00-01.futbf.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=274826300, setName='atlas-707kmd-shard-0', canonicalAddress=cluster0-shard-00-01.futbf.mongodb.net:27017, hosts=[cluster0-shard-00-00.futbf.mongodb.net:27017, cluster0-shard-00-01.futbf.mongodb.net:27017, cluster0-shard-00-02.futbf.mongodb.net:27017], passives=[], arbiters=[], primary='cluster0-shard-00-02.futbf.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az3'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=1, topologyVersion=TopologyVersion{processId=68b9aa44fc40f0a90a03067c, counter=3}, lastWriteDate=Fri Sep 05 17:16:31 IST 2025, lastUpdateTimeNanos=1989741162800} 
25-09-05 17:16:32.751 [cluster-ClusterId{value='68bacd981d206d3549e9eed4', description='null'}-cluster0-shard-00-02.futbf.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=cluster0-shard-00-02.futbf.mongodb.net:27017, type=REPLICA_SET_PRIMARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=274597500, setName='atlas-707kmd-shard-0', canonicalAddress=cluster0-shard-00-02.futbf.mongodb.net:27017, hosts=[cluster0-shard-00-00.futbf.mongodb.net:27017, cluster0-shard-00-01.futbf.mongodb.net:27017, cluster0-shard-00-02.futbf.mongodb.net:27017], passives=[], arbiters=[], primary='cluster0-shard-00-02.futbf.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az2'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff0000000000000007, setVersion=1, topologyVersion=TopologyVersion{processId=68b9aa0ac7b2c7e05c03bbe9, counter=6}, lastWriteDate=Fri Sep 05 17:16:31 IST 2025, lastUpdateTimeNanos=1989741162900} 
25-09-05 17:16:32.751 [cluster-rtt-ClusterId{value='68bacd981d206d3549e9eed4', description='null'}-cluster0-shard-00-00.futbf.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:1, serverValue:17336}] to cluster0-shard-00-00.futbf.mongodb.net:27017 
25-09-05 17:16:32.755 [cluster-ClusterId{value='68bacd981d206d3549e9eed4', description='null'}-cluster0-shard-00-02.futbf.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Setting max election id to 7fffffff0000000000000007 from replica set primary cluster0-shard-00-02.futbf.mongodb.net:27017 
25-09-05 17:16:32.756 [cluster-ClusterId{value='68bacd981d206d3549e9eed4', description='null'}-cluster0-shard-00-02.futbf.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Setting max set version to 1 from replica set primary cluster0-shard-00-02.futbf.mongodb.net:27017 
25-09-05 17:16:32.756 [cluster-ClusterId{value='68bacd981d206d3549e9eed4', description='null'}-cluster0-shard-00-02.futbf.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Discovered replica set primary cluster0-shard-00-02.futbf.mongodb.net:27017 
25-09-05 17:16:32.994 [main] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:7, serverValue:17530}] to cluster0-shard-00-02.futbf.mongodb.net:27017 
25-09-05 17:16:33.394 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@3a2546d6, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@7282af25, org.springframework.security.web.context.SecurityContextPersistenceFilter@424f02b8, org.springframework.security.web.header.HeaderWriterFilter@5ebbde60, org.springframework.security.web.authentication.logout.LogoutFilter@8eb6f9a, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@6eda012b, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@3cc3f13e, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@307af381, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@7661e474, org.springframework.security.web.session.SessionManagementFilter@2a484710, org.springframework.security.web.access.ExceptionTranslationFilter@61b838f2, org.springframework.security.web.access.intercept.AuthorizationFilter@7c4b5ceb] 
25-09-05 17:16:33.712 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"] 
25-09-05 17:16:33.731 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path '/journal' 
25-09-05 17:16:33.739 [main] INFO  n.e.journalApp.JournalApplication - Started JournalApplication in 4.076 seconds (JVM running for 4.73) 
